Data collected on 04/27/2007 04:18:06 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
+3.240000E-04,+2.281250E+00,+3.240000E-04,+2.562500E+00
+3.260000E-04,+2.937500E+00,+3.260000E-04,+2.062500E+00
+3.280000E-04,+2.968750E+00,+3.280000E-04,+1.437500E+00
+3.300000E-04,+3.000000E+00,+3.300000E-04,+9.375000E-01
+3.320000E-04,+3.000000E+00,+3.320000E-04,+6.250000E-01
+3.340000E-04,+3.000000E+00,+3.340000E-04,+1.875000E-01
+3.360000E-04,+1.406250E+00,+3.360000E-04,+2.500000E-01
+3.380000E-04,+2.875000E+00,+3.380000E-04,+1.250000E-01
+3.400000E-04,+3.000000E+00,+3.400000E-04,+1.875000E-01
+3.420000E-04,+3.000000E+00,+3.420000E-04,+1.875000E-01
+3.440000E-04,+3.031250E+00,+3.440000E-04,+1.875000E-01
+3.460000E-04,+3.000000E+00,+3.460000E-04,+1.875000E-01
+3.480000E-04,+3.312500E+00,+3.480000E-04,+6.250000E-02
+3.500000E-04,+3.093750E+00,+3.500000E-04,+6.250000E-02
+3.520000E-04,+3.031250E+00,+3.520000E-04,+1.875000E-01
+3.540000E-04,+3.031250E+00,+3.540000E-04,+1.250000E-01
+3.560000E-04,+3.000000E+00,+3.560000E-04,+1.250000E-01
+3.580000E-04,+3.031250E+00,+3.580000E-04,+1.250000E-01
+3.600000E-04,+3.062500E+00,+3.600000E-04,+3.500000E+00
+3.620000E-04,+3.093750E+00,+3.620000E-04,+2.562500E+00
+3.640000E-04,+3.000000E+00,+3.640000E-04,+2.062500E+00
+3.660000E-04,+3.031250E+00,+3.660000E-04,+1.500000E+00
+3.680000E-04,+3.000000E+00,+3.680000E-04,+9.375000E-01
+3.700000E-04,+3.000000E+00,+3.700000E-04,+6.250000E-01
+3.720000E-04,+3.000000E+00,+3.720000E-04,+3.750000E-01
+3.740000E-04,+3.000000E+00,+3.740000E-04,+2.500000E-01
+3.760000E-04,+3.062500E+00,+3.760000E-04,+1.250000E-01
+3.780000E-04,+3.125000E+00,+3.780000E-04,+1.250000E-01
+3.800000E-04,+3.031250E+00,+3.800000E-04,+1.875000E-01
+3.820000E-04,+2.968750E+00,+3.820000E-04,+1.250000E-01
+3.840000E-04,+3.000000E+00,+3.840000E-04,+6.250000E-02
+3.860000E-04,+3.000000E+00,+3.860000E-04,+1.250000E-01
+3.880000E-04,+3.000000E+00,+3.880000E-04,+6.250000E-02
+3.900000E-04,+3.000000E+00,+3.900000E-04,+1.250000E-01
+3.920000E-04,-3.125000E-01,+3.920000E-04,+2.500000E-01
+3.940000E-04,+2.093750E+00,+3.940000E-04,+2.500000E-01
+3.960000E-04,+2.937500E+00,+3.960000E-04,+1.875000E-01
+3.980000E-04,+3.031250E+00,+3.980000E-04,+1.875000E-01
+4.000000E-04,+3.031250E+00,+4.000000E-04,+1.250000E-01
+4.020000E-04,+3.031250E+00,+4.020000E-04,+1.250000E-01
+4.040000E-04,+3.000000E+00,+4.040000E-04,+1.250000E-01
+4.060000E-04,+0.000000E+00,+4.060000E-04,+3.187500E+00
+4.080000E-04,+2.656250E+00,+4.080000E-04,+2.312500E+00
+4.100000E-04,+2.968750E+00,+4.100000E-04,+1.875000E+00
+4.120000E-04,+3.000000E+00,+4.120000E-04,+1.375000E+00
+4.140000E-04,+3.000000E+00,+4.140000E-04,+7.500000E-01
+4.160000E-04,+3.031250E+00,+4.160000E-04,+5.625000E-01
+4.180000E-04,+3.000000E+00,+4.180000E-04,+3.500000E+00
+4.200000E-04,+3.156250E+00,+4.200000E-04,+2.625000E+00
+4.220000E-04,+3.031250E+00,+4.220000E-04,+2.187500E+00
+4.240000E-04,+3.000000E+00,+4.240000E-04,+1.625000E+00
+4.260000E-04,+3.000000E+00,+4.260000E-04,+1.000000E+00
+4.280000E-04,+3.031250E+00,+4.280000E-04,+6.250000E-01
+4.300000E-04,+3.000000E+00,+4.300000E-04,+3.750000E-01
+4.320000E-04,+3.000000E+00,+4.320000E-04,+2.500000E-01
+4.340000E-04,+2.968750E+00,+4.340000E-04,+2.500000E-01
+4.360000E-04,+3.031250E+00,+4.360000E-04,+1.875000E-01
+4.380000E-04,+3.281250E+00,+4.380000E-04,+3.312500E+00
+4.400000E-04,+2.500000E+00,+4.400000E-04,+2.562500E+00
+4.420000E-04,+2.906250E+00,+4.420000E-04,+1.875000E+00
+4.440000E-04,+3.000000E+00,+4.440000E-04,+1.562500E+00
+4.460000E-04,+3.000000E+00,+4.460000E-04,+1.062500E+00
+4.480000E-04,+3.000000E+00,+4.480000E-04,+6.875000E-01
+4.500000E-04,-9.375000E-02,+4.500000E-04,+0.000000E+00
+4.520000E-04,+1.843750E+00,+4.520000E-04,+2.500000E-01
+4.540000E-04,+2.906250E+00,+4.540000E-04,+1.875000E-01
+4.560000E-04,+3.000000E+00,+4.560000E-04,+1.250000E-01
+4.580000E-04,+3.031250E+00,+4.580000E-04,+1.250000E-01
