Data collected on 04/27/2007 04:25:32 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
+1.355000E-05,+3.000000E+00,+1.360000E-05,+2.500000E-01
+1.365000E-05,+3.062500E+00,+1.370000E-05,+2.500000E-01
+1.375000E-05,+3.031250E+00,+1.380000E-05,+2.500000E-01
+1.385000E-05,+3.000000E+00,+1.390000E-05,+2.500000E-01
+1.395000E-05,+3.000000E+00,+1.400000E-05,+2.500000E-01
+1.405000E-05,+3.031250E+00,+1.410000E-05,+1.312500E+00
+1.415000E-05,+9.375000E-02,+1.420000E-05,+2.375000E+00
+1.425000E-05,-6.250000E-02,+1.430000E-05,+3.375000E+00
+1.435000E-05,-9.375000E-02,+1.440000E-05,+3.875000E+00
+1.445000E-05,-6.250000E-02,+1.450000E-05,+3.625000E+00
+1.455000E-05,+0.000000E+00,+1.460000E-05,+3.312500E+00
+1.465000E-05,-3.125000E-02,+1.470000E-05,+3.250000E+00
+1.475000E-05,+6.250000E-02,+1.480000E-05,+0.000000E+00
+1.485000E-05,+9.375000E-02,+1.490000E-05,-9.375000E-01
+1.495000E-05,+0.000000E+00,+1.500000E-05,-3.750000E-01
+1.505000E-05,-6.250000E-02,+1.510000E-05,+3.125000E-01
+1.515000E-05,-6.250000E-02,+1.520000E-05,+3.750000E-01
+1.525000E-05,-3.125000E-02,+1.530000E-05,+1.250000E-01
+1.535000E-05,+0.000000E+00,+1.540000E-05,+0.000000E+00
+1.545000E-05,+0.000000E+00,+1.550000E-05,+0.000000E+00
+1.555000E-05,+0.000000E+00,+1.560000E-05,+1.875000E-01
+1.565000E-05,-3.125000E-02,+1.570000E-05,+1.250000E-01
+1.575000E-05,+0.000000E+00,+1.580000E-05,+6.250000E-02
+1.585000E-05,+0.000000E+00,+1.590000E-05,+6.250000E-02
+1.595000E-05,+1.875000E-01,+1.600000E-05,+1.250000E-01
+1.605000E-05,+4.687500E-01,+1.610000E-05,+6.250000E-02
+1.615000E-05,+7.500000E-01,+1.620000E-05,+1.250000E-01
+1.625000E-05,+9.687500E-01,+1.630000E-05,+1.250000E-01
+1.635000E-05,+1.187500E+00,+1.640000E-05,+1.875000E-01
+1.645000E-05,+1.406250E+00,+1.650000E-05,+1.875000E-01
+1.655000E-05,+1.562500E+00,+1.660000E-05,+2.500000E-01
+1.665000E-05,+1.687500E+00,+1.670000E-05,+1.875000E-01
+1.675000E-05,+1.875000E+00,+1.680000E-05,+1.875000E-01
+1.685000E-05,+1.968750E+00,+1.690000E-05,+1.875000E-01
+1.695000E-05,+2.093750E+00,+1.700000E-05,+2.500000E-01
+1.705000E-05,+2.187500E+00,+1.710000E-05,+1.875000E-01
+1.715000E-05,+2.281250E+00,+1.720000E-05,+1.250000E-01
+1.725000E-05,+2.375000E+00,+1.730000E-05,+2.500000E-01
+1.735000E-05,+2.437500E+00,+1.740000E-05,+1.875000E-01
+1.745000E-05,+2.500000E+00,+1.750000E-05,+2.500000E-01
+1.755000E-05,+2.562500E+00,+1.760000E-05,+2.500000E-01
+1.765000E-05,+2.625000E+00,+1.770000E-05,+1.875000E-01
+1.775000E-05,+2.656250E+00,+1.780000E-05,+1.875000E-01
+1.785000E-05,+2.687500E+00,+1.790000E-05,+2.500000E-01
+1.795000E-05,+2.750000E+00,+1.800000E-05,+1.875000E-01
+1.805000E-05,+2.750000E+00,+1.810000E-05,+2.500000E-01
+1.815000E-05,+2.781250E+00,+1.820000E-05,+1.875000E-01
+1.825000E-05,+2.843750E+00,+1.830000E-05,+1.875000E-01
+1.835000E-05,+2.843750E+00,+1.840000E-05,+1.875000E-01
+1.845000E-05,+2.843750E+00,+1.850000E-05,+1.875000E-01
+1.855000E-05,+2.875000E+00,+1.860000E-05,+2.500000E-01
+1.865000E-05,+2.875000E+00,+1.870000E-05,+2.500000E-01
+1.875000E-05,+2.906250E+00,+1.880000E-05,+1.875000E-01
+1.885000E-05,+2.875000E+00,+1.890000E-05,+2.500000E-01
+1.895000E-05,+2.906250E+00,+1.900000E-05,+1.875000E-01
+1.905000E-05,+2.937500E+00,+1.910000E-05,+1.250000E-01
+1.915000E-05,+2.906250E+00,+1.920000E-05,+1.875000E-01
+1.925000E-05,+2.937500E+00,+1.930000E-05,+1.875000E-01
+1.935000E-05,+2.937500E+00,+1.940000E-05,+1.875000E-01
+1.945000E-05,+2.937500E+00,+1.950000E-05,+1.875000E-01
+1.955000E-05,+2.968750E+00,+1.960000E-05,+1.250000E-01
+1.965000E-05,+2.968750E+00,+1.970000E-05,+1.875000E-01
+1.975000E-05,+2.968750E+00,+1.980000E-05,+1.875000E-01
+1.985000E-05,+2.937500E+00,+1.990000E-05,+2.500000E-01
+1.995000E-05,+3.000000E+00,+2.000000E-05,+1.875000E-01
+2.005000E-05,+3.000000E+00,+2.010000E-05,+1.875000E-01
+2.015000E-05,+2.968750E+00,+2.020000E-05,+1.875000E-01
+2.025000E-05,+3.000000E+00,+2.030000E-05,+1.875000E-01
+2.035000E-05,+2.968750E+00,+2.040000E-05,+1.250000E-01
+2.045000E-05,+3.000000E+00,+2.050000E-05,+1.875000E-01
+2.055000E-05,+3.000000E+00,+2.060000E-05,+1.875000E-01
+2.065000E-05,+3.000000E+00,+2.070000E-05,+1.875000E-01
